Train,Start Time DEB,Start Date DEB,Start Time FOR,Start Date FOR,Start Time DEG,Start Date DEG
"('ARR', 412202, 1248)",21:48,08/08/2022,,,,
"('ARR', 431018, 801)",14:51,08/08/2022,,,,
"('ARR', 431246, 664)",14:36,08/08/2022,,,,
"('ARR', 44951, 1130)",19:50,08/08/2022,,,,
"('ARR', 450237, 707)",14:21,08/08/2022,,,,
"('ARR', 489016, 1415)",01:04,09/08/2022,,,,
"('ARR', 54234, 1321)",23:01,08/08/2022,,,,
"('ARR', 55390, 1429)",00:49,09/08/2022,,,,
"('ARR', 56135, 1288)",22:28,08/08/2022,,,,
"('ARR', 412023, 1567)",03:07,09/08/2022,,,,
"('ARR', 41264, 2793)",23:33,09/08/2022,,,,
"('ARR', 431802, 1620)",04:00,09/08/2022,,,,
"('ARR', 44222, 2533)",19:13,09/08/2022,,,,
"('ARR', 44250, 2058)",11:18,09/08/2022,,,,
"('ARR', 44865, 2416)",17:16,09/08/2022,,,,
"('ARR', 450237, 2147)",12:47,09/08/2022,,,,
"('ARR', 471003, 2203)",13:43,09/08/2022,,,,
"('ARR', 47262, 1982)",10:02,09/08/2022,,,,
"('ARR', 489026, 2011)",10:31,09/08/2022,,,,
"('ARR', 54234, 2761)",23:01,09/08/2022,,,,
"('ARR', 55390, 2869)",00:49,10/08/2022,,,,
"('ARR', 55398, 1680)",05:00,09/08/2022,,,,
"('ARR', 56135, 2728)",22:30,09/08/2022,,,,
"('ARR', 56730, 1592)",03:32,09/08/2022,,,,
"('ARR', 58706, 2715)",22:15,09/08/2022,,,,
"('ARR', 412023, 3007)",10:34,10/08/2022,,,,
"('ARR', 412202, 4128)",21:48,10/08/2022,,,,
"('ARR', 41264, 4233)",23:33,10/08/2022,,,,
"('ARR', 431020, 4098)",21:18,10/08/2022,,,,
"('ARR', 431110, 3630)",14:13,10/08/2022,,,,
"('ARR', 431246, 3544)",12:04,10/08/2022,,,,
"('ARR', 431802, 3115)",04:55,10/08/2022,,,,
"('ARR', 44222, 3832)",16:52,10/08/2022,,,,
"('ARR', 44228, 2953)",02:13,10/08/2022,,,,
"('ARR', 44250, 3498)",11:18,10/08/2022,,,,
"('ARR', 450237, 3587)",12:47,10/08/2022,,,,
"('ARR', 471003, 3643)",13:58,10/08/2022,,,,
"('ARR', 47214, 3643)",13:43,10/08/2022,,,,
"('ARR', 47262, 3422)",10:02,10/08/2022,,,,
"('ARR', 54234, 4201)",10:38,11/08/2022,,,,
"('ARR', 55390, 4309)",00:49,11/08/2022,,,,
"('ARR', 55396, 3345)",08:45,10/08/2022,,,,
"('ARR', 56135, 4168)",22:30,10/08/2022,,,,
"('ARR', 56730, 3032)",03:32,10/08/2022,,,,
"('ARR', 58706, 4155)",22:15,10/08/2022,,,,
"('ARR', 71270, 3445)",10:53,11/08/2022,,,,
"('ARR', 412023, 4447)",03:07,11/08/2022,,,,
"('ARR', 412202, 5568)",21:48,11/08/2022,,,,
"('ARR', 41254, 5717)",00:17,12/08/2022,,,,
"('ARR', 431246, 4984)",12:24,11/08/2022,,,,
"('ARR', 431640, 4989)",12:09,11/08/2022,,,,
"('ARR', 431802, 4500)",04:02,11/08/2022,,,,
"('ARR', 44222, 5272)",16:52,11/08/2022,,,,
"('ARR', 44250, 4938)",11:18,11/08/2022,,,,
"('ARR', 44865, 5299)",17:19,11/08/2022,,,,
"('ARR', 450237, 5027)",12:47,11/08/2022,,,,
"('ARR', 471003, 5083)",13:43,11/08/2022,,,,
"('ARR', 47212, 5383)",18:43,11/08/2022,,,,
"('ARR', 47240, 4487)",03:47,11/08/2022,,,,
"('ARR', 47262, 4862)",10:02,11/08/2022,,,,
"('ARR', 47822, 5493)",20:33,11/08/2022,,,,
"('ARR', 54234, 5641)",23:01,11/08/2022,,,,
"('ARR', 55390, 5749)",00:49,12/08/2022,,,,
"('ARR', 55394, 5013)",13:02,11/08/2022,,,,
"('ARR', 55396, 4545)",04:45,11/08/2022,,,,
"('ARR', 56135, 5608)",22:30,11/08/2022,,,,
"('ARR', 56730, 4472)",03:32,11/08/2022,,,,
"('ARR', 58706, 5595)",22:15,11/08/2022,,,,
"('ARR', 412023, 5887)",03:07,12/08/2022,,,,
"('ARR', 412202, 7008)",21:48,12/08/2022,,,,
"('ARR', 41264, 7113)",23:33,12/08/2022,,,,
"('ARR', 431246, 6424)",12:04,12/08/2022,,,,
"('ARR', 431802, 6063)",06:03,12/08/2022,,,,
"('ARR', 44222, 6712)",16:52,12/08/2022,,,,
"('ARR', 44228, 5833)",02:13,12/08/2022,,,,
"('ARR', 44250, 6378)",09:44,13/08/2022,,,,
"('ARR', 44865, 6739)",17:19,12/08/2022,,,,
"('ARR', 44951, 6890)",19:50,12/08/2022,,,,
"('ARR', 450237, 6467)",12:48,12/08/2022,,,,
"('ARR', 471003, 6523)",13:43,12/08/2022,,,,
"('ARR', 47214, 6823)",18:43,12/08/2022,,,,
"('ARR', 47262, 6302)",10:02,12/08/2022,,,,
"('ARR', 47822, 6933)",20:33,12/08/2022,,,,
"('ARR', 48216, 6223)",09:00,12/08/2022,,,,
"('ARR', 489026, 6453)",12:33,12/08/2022,,,,
"('ARR', 489042, 7056)",22:45,12/08/2022,,,,
"('ARR', 54234, 7081)",23:01,12/08/2022,,,,
"('ARR', 55396, 6225)",08:45,12/08/2022,,,,
"('ARR', 56135, 7048)",22:30,12/08/2022,,,,
"('ARR', 56730, 5912)",03:32,12/08/2022,,,,
"('ARR', 58706, 7035)",22:15,12/08/2022,,,,
"('ARR', 71270, 6325)",02:36,13/08/2022,,,,
"('ARR', 412023, 7327)",03:07,13/08/2022,,,,
"('ARR', 41230, 8521)",09:44,14/08/2022,,,,
"('ARR', 431802, 7503)",06:03,13/08/2022,,,,
"('ARR', 44222, 8165)",23:30,13/08/2022,,,,
"('ARR', 44228, 7273)",23:45,13/08/2022,,,,
"('ARR', 44250, 7831)",11:31,13/08/2022,,,,
"('ARR', 44864, 8172)",00:00,14/08/2022,,,,
"('ARR', 450235, 7911)",21:16,13/08/2022,,,,
"('ARR', 47240, 7306)",21:55,13/08/2022,,,,
"('ARR', 47262, 7757)",10:17,13/08/2022,,,,
"('ARR', 47822, 8373)",21:01,13/08/2022,,,,
"('ARR', 489026, 7893)",12:33,13/08/2022,,,,
"('ARR', 54234, 8521)",23:01,13/08/2022,,,,
"('ARR', 55390, 8629)",00:49,14/08/2022,,,,
"('ARR', 55396, 7665)",08:45,13/08/2022,,,,
"('ARR', 56135, 8488)",22:30,13/08/2022,,,,
"('ARR', 56730, 7352)",03:32,13/08/2022,,,,
"('ARR', 58706, 8475)",22:15,13/08/2022,,,,
"('ARR', 56730, 8795)",03:35,14/08/2022,,,,
"('DEP', 400006, 2386)",,,12:26,09/08/2022,15:11,09/08/2022
"('DEP', 400016, 2806)",,,19:26,09/08/2022,22:11,09/08/2022
"('DEP', 400110, 2697)",,,17:37,09/08/2022,20:22,09/08/2022
"('DEP', 431035, 2342)",,,11:42,09/08/2022,14:27,09/08/2022
"('DEP', 431091, 1819)",,,02:36,09/08/2022,05:21,09/08/2022
"('DEP', 44203, 2515)",,,14:35,09/08/2022,17:20,09/08/2022
"('DEP', 44241, 2242)",,,10:02,09/08/2022,12:47,09/08/2022
"('DEP', 44249, 1627)",,,23:47,08/08/2022,02:32,09/08/2022
"('DEP', 44806, 1933)",,,04:53,09/08/2022,07:38,09/08/2022
"('DEP', 47245, 2300)",,,11:00,09/08/2022,13:45,09/08/2022
"('DEP', 47289, 2100)",,,07:40,09/08/2022,10:25,09/08/2022
"('DEP', 47821, 2785)",,,19:05,09/08/2022,21:50,09/08/2022
"('DEP', 489447, 1811)",,,02:51,09/08/2022,05:36,09/08/2022
"('DEP', 52672, 2412)",,,03:37,09/08/2022,15:32,09/08/2022
"('DEP', 54003, 1679)",,,00:15,09/08/2022,03:00,09/08/2022
"('DEP', 54051, 1774)",,,02:14,09/08/2022,04:59,09/08/2022
"('DEP', 54086, 1670)",,,00:30,09/08/2022,03:15,09/08/2022
"('DEP', 54231, 2289)",,,05:15,09/08/2022,08:00,09/08/2022
"('DEP', 450226, 3320)",,,03:32,10/08/2022,06:17,10/08/2022
"('DEP', 400014, 4067)",,,16:27,10/08/2022,19:12,10/08/2022
"('DEP', 412124, 3073)",,,23:53,09/08/2022,02:38,10/08/2022
"('DEP', 41258, 3043)",,,03:22,09/08/2022,06:07,09/08/2022
"('DEP', 431035, 3783)",,,04:02,10/08/2022,14:28,10/08/2022
"('DEP', 431091, 3259)",,,02:59,10/08/2022,05:44,10/08/2022
"('DEP', 44203, 3955)",,,14:35,10/08/2022,17:20,10/08/2022
"('DEP', 44241, 3682)",,,10:02,10/08/2022,12:47,10/08/2022
"('DEP', 44249, 3067)",,,13:58,09/08/2022,16:43,09/08/2022
"('DEP', 47205, 3728)",,,10:34,10/08/2022,13:19,10/08/2022
"('DEP', 48215, 3847)",,,12:37,10/08/2022,15:22,10/08/2022
"('DEP', 489044, 3010)",,,13:02,09/08/2022,15:47,09/08/2022
"('DEP', 52672, 3852)",,,12:52,10/08/2022,15:37,10/08/2022
"('DEP', 54003, 3119)",,,00:39,10/08/2022,03:24,10/08/2022
"('DEP', 54053, 3818)",,,12:18,10/08/2022,15:03,10/08/2022
"('DEP', 54231, 3729)",,,10:49,10/08/2022,13:34,10/08/2022
"('DEP', 71210, 3180)",,,01:40,10/08/2022,04:25,10/08/2022
"('DEP', 400006, 5266)",,,12:26,11/08/2022,15:11,11/08/2022
"('DEP', 400010, 5746)",,,20:26,11/08/2022,23:11,11/08/2022
"('DEP', 400016, 5686)",,,19:26,11/08/2022,22:11,11/08/2022
"('DEP', 431035, 5222)",,,11:08,11/08/2022,13:53,11/08/2022
"('DEP', 44203, 5395)",,,14:35,11/08/2022,17:20,11/08/2022
"('DEP', 44241, 5122)",,,10:02,11/08/2022,12:47,11/08/2022
"('DEP', 44806, 4638)",,,01:58,11/08/2022,04:43,11/08/2022
"('DEP', 450226, 4760)",,,03:47,10/08/2022,06:32,10/08/2022
"('DEP', 47245, 5203)",,,11:23,11/08/2022,14:08,11/08/2022
"('DEP', 47247, 4980)",,,07:40,11/08/2022,10:25,11/08/2022
"('DEP', 47820, 5665)",,,19:05,11/08/2022,21:50,11/08/2022
"('DEP', 489118, 5230)",,,11:50,11/08/2022,14:35,11/08/2022
"('DEP', 52672, 5292)",,,12:47,11/08/2022,15:32,11/08/2022
"('DEP', 54003, 4559)",,,00:15,11/08/2022,03:00,11/08/2022
"('DEP', 54051, 4654)",,,02:14,11/08/2022,04:59,11/08/2022
"('DEP', 54086, 4550)",,,00:30,11/08/2022,03:15,11/08/2022
"('DEP', 54231, 5169)",,,10:49,11/08/2022,13:34,11/08/2022
"('DEP', 71256, 4466)",,,23:06,10/08/2022,01:51,11/08/2022
"('DEP', 400010, 7186)",,,20:26,12/08/2022,23:11,12/08/2022
"('DEP', 400016, 7126)",,,19:26,12/08/2022,22:11,12/08/2022
"('DEP', 412024, 6026)",,,01:06,12/08/2022,03:51,12/08/2022
"('DEP', 41258, 5923)",,,23:23,11/08/2022,02:08,12/08/2022
"('DEP', 431035, 6663)",,,11:43,12/08/2022,14:28,12/08/2022
"('DEP', 44241, 6562)",,,10:02,12/08/2022,12:47,12/08/2022
"('DEP', 44249, 5947)",,,23:47,11/08/2022,02:32,12/08/2022
"('DEP', 44952, 7017)",,,17:37,12/08/2022,20:22,12/08/2022
"('DEP', 47205, 6919)",,,15:59,12/08/2022,18:44,12/08/2022
"('DEP', 48219, 5914)",,,13:02,11/08/2022,15:47,11/08/2022
"('DEP', 489447, 6131)",,,02:51,12/08/2022,05:36,12/08/2022
"('DEP', 52672, 6732)",,,09:00,12/08/2022,11:45,12/08/2022
"('DEP', 54003, 5999)",,,00:15,12/08/2022,03:00,12/08/2022
"('DEP', 54053, 6698)",,,12:18,12/08/2022,15:03,12/08/2022
"('DEP', 54086, 5990)",,,00:30,12/08/2022,03:15,12/08/2022
"('DEP', 54231, 6609)",,,10:49,12/08/2022,13:34,12/08/2022
"('DEP', 71217, 7170)",,,19:50,12/08/2022,22:35,12/08/2022
"('DEP', 41258, 7363)",,,23:23,12/08/2022,02:08,13/08/2022
"('DEP', 431091, 7579)",,,02:36,13/08/2022,05:21,13/08/2022
"('DEP', 44241, 8002)",,,09:29,13/08/2022,12:14,13/08/2022
"('DEP', 44806, 7470)",,,01:10,13/08/2022,03:55,13/08/2022
"('DEP', 450224, 7779)",,,06:19,13/08/2022,09:04,13/08/2022
"('DEP', 47237, 7860)",,,07:40,13/08/2022,10:25,13/08/2022
"('DEP', 47281, 8309)",,,09:44,13/08/2022,12:29,13/08/2022
"('DEP', 489044, 7330)",,,20:05,12/08/2022,22:50,12/08/2022
"('DEP', 489119, 8103)",,,09:59,13/08/2022,12:44,13/08/2022
"('DEP', 489447, 7571)",,,02:51,13/08/2022,05:36,13/08/2022
"('DEP', 54051, 7536)",,,02:16,13/08/2022,05:01,13/08/2022
"('DEP', 54086, 7430)",,,00:30,13/08/2022,03:15,13/08/2022
"('DEP', 431037, 9700)",,,09:14,14/08/2022,11:59,14/08/2022
"('DEP', 44247, 9515)",,,09:29,14/08/2022,12:14,14/08/2022
"('DEP', 44559, 9368)",,,08:48,14/08/2022,11:33,14/08/2022
"('DEP', 47820, 9542)",,,09:44,14/08/2022,12:29,14/08/2022
"('DEP', 489447, 9011)",,,02:51,14/08/2022,05:36,14/08/2022
"('DEP', 54003, 8879)",,,00:15,14/08/2022,03:00,14/08/2022
"('DEP', 54053, 9578)",,,09:59,14/08/2022,12:44,14/08/2022
"('DEP', 54055, 8730)",,,22:10,13/08/2022,00:55,14/08/2022
"('DEP', 54086, 8870)",,,00:30,14/08/2022,03:15,14/08/2022
"('DEP', 400014, 11267)",,,21:09,14/08/2022,23:54,14/08/2022
"('DEP', 431035, 10982)",,,21:24,14/08/2022,00:09,15/08/2022
"('DEP', 431121, 10421)",,,21:39,14/08/2022,00:24,15/08/2022
"('DEP', 450226, 10520)",,,21:54,14/08/2022,00:39,15/08/2022
"('DEP', 489447, 10451)",,,22:09,14/08/2022,00:54,15/08/2022
"('DEP', 54003, 10319)",,,22:24,14/08/2022,01:09,15/08/2022
"('DEP', 54051, 10414)",,,22:39,14/08/2022,01:24,15/08/2022
"('DEP', 54086, 10310)",,,22:54,14/08/2022,01:39,15/08/2022
"('DEP', 54231, 10929)",,,23:09,14/08/2022,01:54,15/08/2022
"('DEP', 41258, 11683)",,,23:24,14/08/2022,02:09,15/08/2022
"('DEP', 431091, 11899)",,,23:39,14/08/2022,02:24,15/08/2022
"('DEP', 489044, 11650)",,,23:54,14/08/2022,02:39,15/08/2022
"('DEP', 54051, 11854)",,,00:09,15/08/2022,02:54,15/08/2022
"('DEP', 412124, 13153)",,,00:24,15/08/2022,03:09,15/08/2022
"('DEP', 431113, 13620)",,,00:39,15/08/2022,03:24,15/08/2022
